#
#
# US Geological Survey
# retrieved: 2020-01-20 13:31:30 -05:00	(sdas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://waterservices.usgs.gov/rest/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# Warning: A site search criterion has been used for which the data may be unavailable.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	16s
USGS	363053081084101	AL-053	GW	36.5147222	-81.1447222	S	NAD83	 3020.00	002	NGVD29	05050001
USGS	363208081195801	AL-054	GW	36.53555556	-81.3327778	S	NAD83	 2780.00	002	NGVD29	05050001
USGS	363243082220901	Su:L-015 UTEN97-26	GW	36.54526935	-82.3674196	5	NAD83	 1830	 20	NGVD29	06010102
USGS	363254081364201	AS-086	GW	36.5483333	-81.6116667	S	NAD83	 3480.00	002	NGVD29	05050001
USGS	363335082044301	Su:N-004 UTEN98-26	GW	36.5595833	-82.07863889	5	NAD83	 1660	 20	NAVD88	06010102
USGS	363444082244101	Su:K-012 UTEN97-24	GW	36.57921329	-82.4112004	5	NAD83	 1330	 20	NGVD29	06010102
USGS	363632081092701	21A 1	GW	36.60888889	-81.1575	S	NAD83	 2880.00	002	NGVD29	05050001
USGS	363739081284401	19B 1	GW	36.6275	-81.47888889	S	NAD83	 3910.00	002	NGVD29	05050001
USGS	363751082545201	07B  1	GW	36.63092635	-82.914331	S	NAD83	 1190.00	 20	NGVD29	06010205
USGS	364051081041401	22B 1	GW	36.6808333	-81.0705556	S	NAD83	 2545.00	010	NGVD29	05050001
USGS	364105081322601	GRINDSTONE CMP	GW	36.68484009	-81.5403915	S	NAD83	 3840.00	 20	NGVD29	05050001
USGS	364128081161201	20B 1	GW	36.6911111	-81.27	S	NAD83	 3155.00	010	NGVD29	05050001
USGS	364146081293201	19B 2	GW	36.6961111	-81.4922222	S	NAD83	 3490.00	010	NGVD29	05050001
USGS	364207082255101	11B  1	GW	36.70204559	-82.4307042	S	NAD83	 1755.00	 20	NGVD29	06010101
USGS	364254082570801	UTEN98-17	GW	36.715	-82.9520833	5	NAD83	 1560	 20	NAVD88	06010205
USGS	364351082053001	14B  1	GW	36.73094166	-82.09152	S	NAD83	 1980.00	 20	NGVD29	06010101
USGS	364430082110201	13B  1	GW	36.7417727	-82.1837465	S	NAD83	 1420.00	 20	NGVD29	06010101
